{'weights': [0.05, 0.05, 0.2, 0.7], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 909.6416491310109, 'shape_smoothness': 9.830560895170946, 'edge_consistency': 6.087083535867475, 'edge_intensity_error': 0.015591947910411652, 'intensity_gradient_error': 0.353478653056869, 'intensity_variance_error': 0.3344146066843697, 'peak_intensity_consistency': 14.176959724404476, 'ge_normalized': 0.3009655732028668, 'ge': 1326.5539210510108, 'spatial_spread_error': 20.362394006988676, 'gap_error': 0.6488069694678159}
{'weights': [0.05, 0.05, 0.2, 0.7], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 8385.62293144208, 'shape_smoothness': 7.16179766479702, 'edge_consistency': 3.8477292004820485, 'edge_intensity_error': 0.002213226563562857, 'intensity_gradient_error': 0.3575174705296447, 'intensity_variance_error': 0.3398079304090907, 'peak_intensity_consistency': 11.381257186542456, 'ge_normalized': 0.49744829893478, 'ge': 889.0577356277898, 'spatial_spread_error': 19.19182890898018, 'gap_error': 0.5364726290258206}
{'weights': [0.05, 0.05, 0.2, 0.7], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 30612.99574468085, 'shape_smoothness': 6.853347520736755, 'edge_consistency': 3.42293522291171, 'edge_intensity_error': 0.005170793442798499, 'intensity_gradient_error': 0.3593466343170875, 'intensity_variance_error': 0.33589579055460744, 'peak_intensity_consistency': 12.35010380887307, 'ge_normalized': 0.563149705706399, 'ge': 845.2788565384019, 'spatial_spread_error': 15.587972616039494, 'gap_error': 0.5088933918721154}
{'weights': [0.05, 0.05, 0.2, 0.7], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 44267.32907801418, 'shape_smoothness': 6.258747419600037, 'edge_consistency': 4.333951844099611, 'edge_intensity_error': 0.0050718340609212835, 'intensity_gradient_error': 0.35575647297722596, 'intensity_variance_error': 0.32889635807780926, 'peak_intensity_consistency': 12.167277784091597, 'ge_normalized': 0.5845807939788652, 'ge': 808.1251266092981, 'spatial_spread_error': 18.423694312211584, 'gap_error': 0.47779880144621784}
{'weights': [0.05, 0.05, 0.2, 0.7], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40.20567375886525, 'shape_smoothness': 5.078358462053797, 'edge_consistency': 1.080577509096018, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.02308371459340421, 'intensity_variance_error': nan, 'peak_intensity_consistency': 10.122669456016162, 'ge_normalized': 0.2716280221024331, 'ge': 1657.4347910744914, 'spatial_spread_error': 19.317011155334022, 'gap_error': 0.2024010549846416}
{'weights': [0.05, 0.05, 0.2, 0.7], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40.20567375886525, 'shape_smoothness': 5.078358462053797, 'edge_consistency': 1.080577509096018, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.02308371459340421, 'intensity_variance_error': nan, 'peak_intensity_consistency': 10.122669456016162, 'ge_normalized': 0.2716280221024331, 'ge': 1657.4347910744914, 'spatial_spread_error': 19.317011155334022, 'gap_error': 0.2024010549846416}
{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40.20567375886525, 'shape_smoothness': 5.078358462053797, 'edge_consistency': 1.080577509096018, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.02308371459340421, 'intensity_variance_error': nan, 'peak_intensity_consistency': 10.122669456016162, 'ge_normalized': 0.2716280221024331, 'ge': 1657.4347910744914, 'spatial_spread_error': 19.317011155334022, 'gap_error': 0.2024010549846416}
{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40.20567375886525, 'shape_smoothness': 5.078358462053797, 'edge_consistency': 1.080577509096018, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.02308371459340421, 'intensity_variance_error': nan, 'peak_intensity_consistency': 10.122669456016162, 'ge_normalized': 0.2716280221024331, 'ge': 1657.4347910744914, 'spatial_spread_error': 19.317011155334022, 'gap_error': 0.2024010549846416}
{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40.20567375886525, 'shape_smoothness': 5.078358462053797, 'edge_consistency': 1.080577509096018, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.02308371459340421, 'intensity_variance_error': nan, 'peak_intensity_consistency': 10.122669456016162, 'ge_normalized': 0.2716280221024331, 'ge': 1657.4347910744914, 'spatial_spread_error': 19.317011155334022, 'gap_error': 0.2024010549846416}
{'weights': [0.05, 0.05, 0.39999999999999997, 0.49999999999999994], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40.20567375886525, 'shape_smoothness': 5.078358462053797, 'edge_consistency': 1.080577509096018, 'edge_intensity_error': nan, 'intensity_gradient_error': 0.02308371459340421, 'intensity_variance_error': nan, 'peak_intensity_consistency': 10.122669456016162, 'ge_normalized': 0.2716280221024331, 'ge': 1657.4347910744914, 'spatial_spread_error': 19.317011155334022, 'gap_error': 0.2024010549846416}
