{'weights': [0.05, 0.95], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.05, 0.95], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.05, 0.95], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.05, 0.95], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.05, 0.95], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.05, 0.95], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.05, 0.95], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.05, 0.95], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.1, 0.9], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.05, 0.95], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.1, 0.9], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.1, 0.9], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
{'weights': [0.1, 0.9], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 184238.75, 'shape_smoothness': 156.72232757012145, 'edge_consistency': 0.15278278980856122, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.41054438908935303, 'intensity_variance_error': 0.5666810288608004, 'peak_intensity_consistency': 24.00864498145428, 'ge_normalized': 0.6346326948812833, 'ge': 82427.66687769703, 'spatial_spread_error': 18.00302681878882, 'gap_error': 0.7528785982478098}
