{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 3.5, 'error1': 747.9088820445287, 'error2': 0.056623063485822994, 'error3': 286.88645730668213}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.0, 'error1': 693.9191757885932, 'error2': 0.055727412651703556, 'error3': 257.86696964328286}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.5, 'error1': 688.6045711729184, 'error2': 0.055642528495778214, 'error3': 236.13151847347353}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 5.0, 'error1': 679.0604033958926, 'error2': 0.05568734320454046, 'error3': 217.33243188155006}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 5.5, 'error1': 685.4983148686086, 'error2': 0.05562538813974436, 'error3': 228.4395062502632}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 6.0, 'error1': 647.947736143986, 'error2': 0.056354372148046374, 'error3': 212.916224907803}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 6.5, 'error1': 642.5656826915804, 'error2': 0.05541055181456642, 'error3': 227.07348536519444}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 7.0, 'error1': 593.4453416669786, 'error2': 0.05639624220541744, 'error3': 179.6427445144357}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 7.5, 'error1': 618.177222173872, 'error2': 0.055543106755741534, 'error3': 136.98676422253396}
{'bandwidths': [0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 0.5, 'error1': 974.4333578236361, 'error2': 0.005164538677987805, 'error3': 5.43920510632092}
