{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.0, 'error1': 791.6561688028452, 'error2': 0.03178069350894913, 'error3': 83.20970270089882}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 4.5, 'error1': 693.2660868177084, 'error2': 0.033375776393457394, 'error3': 58.09000844330525}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 5.0, 'error1': 705.5808855150979, 'error2': 0.033613905445343116, 'error3': 56.913157010268435}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 5.5, 'error1': 632.6599278280976, 'error2': 0.034264462224246485, 'error3': 52.54773531756219}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 6.0, 'error1': 616.902220021308, 'error2': 0.034664129880804764, 'error3': 52.47904190378854}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 6.5, 'error1': 550.9748310520392, 'error2': 0.03457183625487738, 'error3': 41.025248176141375}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 7.0, 'error1': 553.3257739233773, 'error2': 0.034537419161389984, 'error3': 44.42689360317159}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.0, 'xy_weight': 7.5, 'error1': 536.8840023599391, 'error2': 0.034961006477485845, 'error3': 42.26254673803847}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 0.5, 'error1': 1041.3103218561148, 'error2': 0.02077516080606122, 'error3': 13.375887141676664}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 1.0, 'error1': 959.2183683932983, 'error2': 0.023751961173746124, 'error3': 19.89092889504576}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 1.5, 'error1': 1052.028950783565, 'error2': 0.025412696684127017, 'error3': 45.13961269681904}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 2.0, 'error1': 966.7171554169139, 'error2': 0.026093333909256312, 'error3': 53.9391555813712}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 2.5, 'error1': 845.405134728172, 'error2': 0.027719804005033544, 'error3': 63.51892411524994}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 3.0, 'error1': 879.3503842133912, 'error2': 0.02693263029052114, 'error3': 107.30797250385025}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 3.5, 'error1': 864.1710887157318, 'error2': 0.02933558745601176, 'error3': 107.3776942046662}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 4.0, 'error1': 815.0589875082005, 'error2': 0.028963619040099163, 'error3': 87.41897739389785}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 4.5, 'error1': 792.185059658821, 'error2': 0.029919993754191916, 'error3': 80.42929222416691}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 5.0, 'error1': 706.0004534273214, 'error2': 0.031151730892282514, 'error3': 62.80317265388904}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 5.5, 'error1': 676.1993931744516, 'error2': 0.03251488543789242, 'error3': 57.38203570609729}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 6.0, 'error1': 693.0183470143611, 'error2': 0.03271480475909637, 'error3': 58.48844987169988}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 6.5, 'error1': 656.5999832036371, 'error2': 0.0330891706867346, 'error3': 53.99875437421341}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 7.0, 'error1': 571.9973311227113, 'error2': 0.03377355664257777, 'error3': 43.31052351478819}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 1.5, 'xy_weight': 7.5, 'error1': 623.6436189587524, 'error2': 0.03435750228077951, 'error3': 49.05127334688165}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 0.5, 'error1': 972.7134861740099, 'error2': 0.01618750314395616, 'error3': 14.469720190980441}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 1.0, 'error1': 474.7253017185041, 'error2': 0.019603441047298168, 'error3': 39.41085097713066}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 1.5, 'error1': 913.2226426703317, 'error2': 0.023418784208024082, 'error3': 29.717139412142767}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 2.0, 'error1': 999.1992204923735, 'error2': 0.02601995180185903, 'error3': 19.721785698852596}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 2.5, 'error1': 1004.9787684831917, 'error2': 0.025171386210992436, 'error3': 43.33741338859535}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 3.0, 'error1': 977.9449273050606, 'error2': 0.02711442621671357, 'error3': 69.15464621213276}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 3.5, 'error1': 912.555166337493, 'error2': 0.02776872407990568, 'error3': 90.09267939684867}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 4.0, 'error1': 866.5370063064984, 'error2': 0.02742664868148708, 'error3': 89.24779943527554}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 4.5, 'error1': 793.0514500362938, 'error2': 0.02838962911123205, 'error3': 72.58207005363924}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 5.0, 'error1': 815.4369026489342, 'error2': 0.02914434782700646, 'error3': 70.35407663679034}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 5.5, 'error1': 699.5901547890742, 'error2': 0.030255245332884824, 'error3': 56.19370272813843}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 6.0, 'error1': 715.1791771816639, 'error2': 0.03041234554058191, 'error3': 59.16305085022271}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 6.5, 'error1': 700.5503975101914, 'error2': 0.031410968662070875, 'error3': 58.30665732407427}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 7.0, 'error1': 632.2822385970555, 'error2': 0.03204478130343257, 'error3': 49.77046982593809}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.0, 'xy_weight': 7.5, 'error1': 532.9760590317203, 'error2': 0.03164973299793441, 'error3': 36.065448286982054}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 0.5, 'error1': 864.6874322012358, 'error2': 0.01606839763013119, 'error3': 15.475976147963092}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 1.0, 'error1': 729.8738581810621, 'error2': 0.02024965004917042, 'error3': 28.08078286149024}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 1.5, 'error1': 910.9520277916363, 'error2': 0.020728954038584498, 'error3': 14.074240552130858}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 2.0, 'error1': 834.9456601112403, 'error2': 0.025046051200617998, 'error3': 26.712391416432883}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 2.5, 'error1': 958.5154189056041, 'error2': 0.02626045837302285, 'error3': 11.901741214846833}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 2.5, 'xy_weight': 3.0, 'error1': 792.0892510606059, 'error2': 0.026553519709181888, 'error3': 26.029241406317876}
