{'DP': 0.11, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213660437399649, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016868391184779834, 'intensity_gradient_error': 0.10437680950029388, 'intensity_variance_error': 0.12294163677609748, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360296691954315, 'ge': 1031.7289964766292, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.16000000000000003, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213632289883312, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.001686762378909635, 'intensity_gradient_error': 0.10437577162501331, 'intensity_variance_error': 0.1229403403463101, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.136017584971044, 'ge': 1031.7295943400213, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.21000000000000002, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213660917951969, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016868404285480072, 'intensity_gradient_error': 0.10437682721841558, 'intensity_variance_error': 0.12294165890885436, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360298754926959, 'ge': 1031.7289862707876, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.26, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213634334977394, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016867679548240744, 'intensity_gradient_error': 0.10437584703756703, 'intensity_variance_error': 0.12294043454285523, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360184630139463, 'ge': 1031.7295508964453, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.31000000000000005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755284042129367, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016926571216391798, 'intensity_gradient_error': 0.10438662884184205, 'intensity_variance_error': 0.12296103839115954, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356298060975916, 'ge': 1031.8808084812554, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.36000000000000004, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755298738177051, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925750292724846, 'intensity_gradient_error': 0.10438480354704589, 'intensity_variance_error': 0.12295964733337425, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356168597486014, 'ge': 1031.8814802743677, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.41000000000000003, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213699357179854, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.0016869452122066884, 'intensity_gradient_error': 0.10437824436144626, 'intensity_variance_error': 0.12294342922472938, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360463759021933, 'ge': 1031.7281700583583, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.46, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755299024866957, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925734276237716, 'intensity_gradient_error': 0.10438478185439655, 'intensity_variance_error': 0.12295962019607064, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356166072375344, 'ge': 1031.8814933901435, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.51, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.05, 'shape_smoothness': 6.213649338216165, 'edge_consistency': 0.009709965072287356, 'edge_intensity_error': 0.001686808859460264, 'intensity_gradient_error': 0.10437640025870146, 'intensity_variance_error': 0.12294112557527703, 'peak_intensity_consistency': 11.480845174094354, 'ge_normalized': 1.1360249042996862, 'ge': 1031.729232210029, 'spatial_spread_error': 17.137771754081477, 'gap_error': 0.5607709750566894}
{'DP': 0.56, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755297449581558, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925822257313075, 'intensity_gradient_error': 0.10438490102022474, 'intensity_variance_error': 0.12295976927825689, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356179948430998, 'ge': 1031.8814213975002, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.6100000000000001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.75529105128823, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.001692617964640675, 'intensity_gradient_error': 0.10438538508314057, 'intensity_variance_error': 0.12296037486981135, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356236311072805, 'ge': 1031.8811289316411, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.66, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.7552967569693765, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.0016925860938806865, 'intensity_gradient_error': 0.10438495341269649, 'intensity_variance_error': 0.1229598348246363, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356186049581702, 'ge': 1031.8813897503812, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
{'DP': 0.7100000000000001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 4808.475, 'shape_smoothness': 7.755293047007414, 'edge_consistency': 0.009706147278795686, 'edge_intensity_error': 0.001692606816273097, 'intensity_gradient_error': 0.10438523408581299, 'intensity_variance_error': 0.1229601859626137, 'peak_intensity_consistency': 11.480977185279201, 'ge_normalized': 1.1356218730352061, 'ge': 1031.881220171482, 'spatial_spread_error': 17.02504921930076, 'gap_error': 0.5607596371882086}
