{'DP': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.6685907351273, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332699176925035, 'intensity_variance_error': 0.2778526683083568, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.012464767949905, 'ge': 44945.19055373654, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.011, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66863652031982, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332712766709931, 'intensity_variance_error': 0.27785419381966514, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124672139712496, 'ge': 44945.15845042102, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.020999999999999998, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87245824981601, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395948601402, 'intensity_variance_error': 0.2778693423208199, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125242655050952, 'ge': 44939.34265046101, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.030999999999999996, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66862954341948, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332710696128633, 'intensity_variance_error': 0.2778539613866543, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124668412958253, 'ge': 44945.163341778345, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.040999999999999995, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87246979938519, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339596772582076, 'intensity_variance_error': 0.27786955651106243, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125246088869064, 'ge': 44939.33814553092, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.05099999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66862770113384, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332710149405071, 'intensity_variance_error': 0.2778539000154513, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124667428996643, 'ge': 44945.16463331312, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.06099999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872371276334405, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339580457281262, 'intensity_variance_error': 0.2778677292508723, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125216794431995, 'ge': 44939.37657775785, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.071, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66859781999976, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332701280226327, 'intensity_variance_error': 0.2778529044147693, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124651465504009, 'ge': 44945.185585089916, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.08099999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87244899218876, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339593327159464, 'intensity_variance_error': 0.2778691706289021, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.012523990248429, 'ge': 44939.34626153378, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.09099999999999998, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87244577901696, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339592795084273, 'intensity_variance_error': 0.2778691110374745, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.012523894712061, 'ge': 44939.34751488516, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66860138278142, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43327023376433066, 'intensity_variance_error': 0.2778530231088421, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124653368476908, 'ge': 44945.18308712485, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.060000000000000005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87245993550936, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395951392580456, 'intensity_variance_error': 0.277869373580855, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125243156173178, 'ge': 44939.341992971735, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.11, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87238333854786, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339582454905685, 'intensity_variance_error': 0.2778679529738081, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125220381135391, 'ge': 44939.37187215474, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.16000000000000003, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872449210062754, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395933632131056, 'intensity_variance_error': 0.2778691746654472, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125239967136672, 'ge': 44939.34617660222, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.21000000000000002, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87245582403417, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395944584016205, 'intensity_variance_error': 0.2778692973235072, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.01252419335214, 'ge': 44939.343596783365, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.26, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66859856805932, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43327015027576066, 'intensity_variance_error': 0.2778529294080478, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124651866843064, 'ge': 44945.18505944192, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.31000000000000005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872439610601305, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395917735750167, 'intensity_variance_error': 0.277868996627038, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125237112748766, 'ge': 44939.34992113346, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.36000000000000004, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66863131664938, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43327112232317655, 'intensity_variance_error': 0.27785402058028263, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124669363096466, 'ge': 44945.16209666896, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.41000000000000003, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872438030222966, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395915118440986, 'intensity_variance_error': 0.2778689673120881, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.012523664270055, 'ge': 44939.350537659906, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.46, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87244905842978, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339593338012215, 'intensity_variance_error': 0.2778691718377376, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125239921573588, 'ge': 44939.346235950405, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.51, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872414405422376, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395875996149474, 'intensity_variance_error': 0.2778685291526695, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125229618113893, 'ge': 44939.35975327714, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.56, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66863692240784, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43327128874248194, 'intensity_variance_error': 0.2778542074097186, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124672359332847, 'ge': 44945.158165374334, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.6100000000000001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872402066793384, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.433958555627847, 'intensity_variance_error': 0.27786830030500675, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125225949166348, 'ge': 44939.36456654612, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.66, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87245836149909, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339594878437764, 'intensity_variance_error': 0.27786934435890487, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125242687235243, 'ge': 44939.34260732785, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 0.7100000000000001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66863105715225, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332711147098727, 'intensity_variance_error': 0.27785401205884913, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124669227559726, 'ge': 44945.16227659467, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.76, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66862740881368, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332710064434003, 'intensity_variance_error': 0.2778538905274861, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.012466727908616, 'ge': 44945.16483419492, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.81, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66863489044373, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332712285010273, 'intensity_variance_error': 0.27785413980295676, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124671276114057, 'ge': 44945.15958851759, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.8600000000000001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66863486983186, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43327122790190953, 'intensity_variance_error': 0.277854139133972, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124671265544085, 'ge': 44945.15960268143, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.91, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66863097470703, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43327111231341336, 'intensity_variance_error': 0.27785400938292965, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124669185280077, 'ge': 44945.16233324983, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
{'DP': 0.9600000000000001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872385704740196, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339582846508515, 'intensity_variance_error': 0.27786799681654295, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125221083372273, 'ge': 44939.370949654054, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 1.0, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872458420916416, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395948881723845, 'intensity_variance_error': 0.27786934544320113, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125242704357835, 'ge': 44939.34258438028, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 1.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.87247000194166, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.43395968057671946, 'intensity_variance_error': 0.2778695602074213, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125246147239697, 'ge': 44939.33806730312, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 1.4, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57118.225, 'shape_smoothness': 40.872383729079175, 'edge_consistency': 0.09477256458194594, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4339582519186063, 'intensity_variance_error': 0.2778679601502736, 'peak_intensity_consistency': 18.402375638973737, 'ge_normalized': 1.0125220495200213, 'ge': 44939.37172067229, 'spatial_spread_error': 17.832870957630302, 'gap_error': 0.8702857738840217}
{'DP': 1.5999999999999999, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 57125.049999999996, 'shape_smoothness': 92.66862454058375, 'edge_consistency': 0.09478277653979128, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.4332709215273459, 'intensity_variance_error': 0.2778537952646501, 'peak_intensity_consistency': 18.401240150575, 'ge_normalized': 1.0124665754270874, 'ge': 44945.166840357735, 'spatial_spread_error': 17.880392875960315, 'gap_error': 0.8702962035878181}
